"Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
"SHELL",-219.3,"Capital One Venture","Travel","Fuel","EUR","N"
"STARBUCKS",90.3,"Chase Sapphire","Meals","Coffee","USD","N"
"HUDSON NEWS",-142,"Citi Platinum","Meals","Snacks","EUR","Y"
"EXPEDIA",74.02,"American Express","Travel","Booking Fees","GBP","N"
"MARRIOTT",-312.11,"Citi Platinum","Lodging","Hotel","BRL","Y"
"HILTON",-147.48,"Chase Sapphire","Lodging","Hotel","CAD","Y"
"EXPEDIA",-0.01,"Capital One Venture","Travel","Booking Fees","GBP","N"
"DELTA AIR LINES",-235.83,"American Express","Travel","Airfare","GBP","Y"
"MCDONALDS",-240.32,"Citi Platinum","Meals","Restaurant","EUR","Y"
"SHELL",-262.62,"Capital One Venture","Travel","Fuel","GBP","Y"
"UBER",-276.3,"Chase Sapphire","Travel","Ground Transportation","BRL","Y"
"HERTZ",-202.46,"Citi Platinum","Travel","Car Rental","USD","N"
"BOOKING.COM",-110.26,"Citi Platinum","Travel","Booking Fees","GBP","Y"
"STARBUCKS",-391.71,"Chase Sapphire","Meals","Coffee","EUR","Y"
"AVIS",-124.56,"American Express","Travel","Car Rental","USD","Y"
"SHELL",-1.6,"Citi Platinum","Travel","Fuel","CAD","Y"
"HUDSON NEWS",94.51,"American Express","Meals","Snacks","BRL","N"
"HUDSON NEWS",6.14,"Chase Sapphire","Meals","Snacks","AUD","Y"
"STARBUCKS",59.19,"Capital One Venture","Meals","Coffee","CAD","Y"
"SHELL",-357.21,"Capital One Venture","Travel","Fuel","EUR","Y"
"MCDONALDS",-222.18,"American Express","Meals","Restaurant","AUD","Y"
"HERTZ",192.25,"Capital One Venture","Travel","Car Rental","EUR","Y"
"UBER",-65.58,"Capital One Venture","Travel","Ground Transportation","USD","Y"
"SHELL",-162.68,"Capital One Venture","Travel","Fuel","GBP","Y"
"UBER",301.04,"Chase Sapphire","Travel","Ground Transportation","AUD","N"
"MCDONALDS",52.13,"American Express","Meals","Restaurant","GBP","Y"
"LYFT",-40.63,"American Express","Travel","Ground Transportation","CAD","N"
"HUDSON NEWS",-121.51,"Capital One Venture","Meals","Snacks","GBP","N"
"UNITED AIRLINES",-3.83,"Citi Platinum","Travel","Airfare","AUD","Y"
"AVIS",-310.65,"Chase Sapphire","Travel","Car Rental","GBP","Y"
"UBER",-70.7,"Capital One Venture","Travel","Ground Transportation","BRL","N"
"EXXON",-212.75,"Capital One Venture","Travel","Fuel","GBP","N"
"HERTZ",-67.95,"Capital One Venture","Travel","Car Rental","GBP","Y"
"BOOKING.COM",-157.3,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"AVIS",-74.04,"Chase Sapphire","Travel","Car Rental","USD","N"
"UNITED AIRLINES",10.26,"Chase Sapphire","Travel","Airfare","BRL","Y"
"DELTA AIR LINES",-149.13,"Chase Sapphire","Travel","Airfare","BRL","Y"
"HUDSON NEWS",-27.89,"Capital One Venture","Meals","Snacks","AUD","Y"
"MCDONALDS",-292.61,"Citi Platinum","Meals","Restaurant","CAD","Y"
"HUDSON NEWS",-236.59,"Chase Sapphire","Meals","Snacks","BRL","Y"
"LYFT",32.31,"Chase Sapphire","Travel","Ground Transportation","USD","N"
"UBER",104.71,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
"BOOKING.COM",-396.27,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
"HUDSON NEWS",313.68,"Capital One Venture","Meals","Snacks","AUD","Y"
"BOOKING.COM",-174.09,"Citi Platinum","Travel","Booking Fees","CAD","Y"
"STARBUCKS",-46.11,"Chase Sapphire","Meals","Coffee","USD","Y"
"HERTZ",-162.23,"Capital One Venture","Travel","Car Rental","GBP","Y"
"BOOKING.COM",-75.1,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"HILTON",-34.92,"Citi Platinum","Lodging","Hotel","AUD","Y"
"EXPEDIA",50.53,"Capital One Venture","Travel","Booking Fees","GBP","Y"
"LYFT",-143.28,"Citi Platinum","Travel","Ground Transportation","BRL","N"
"MCDONALDS",-156.24,"Chase Sapphire","Meals","Restaurant","AUD","Y"
"EXXON",-360.39,"Capital One Venture","Travel","Fuel","CAD","Y"
"LYFT",-138.08,"American Express","Travel","Ground Transportation","EUR","N"
"LYFT",-218.62,"Capital One Venture","Travel","Ground Transportation","AUD","Y"
"SHELL",-266.88,"American Express","Travel","Fuel","CAD","Y"
"BOOKING.COM",-171.59,"American Express","Travel","Booking Fees","CAD","N"
"DELTA AIR LINES",-28.21,"Capital One Venture","Travel","Airfare","BRL","Y"
"LYFT",-389.13,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
"UNITED AIRLINES",-201.27,"Chase Sapphire","Travel","Airfare","BRL","N"
"DELTA AIR LINES",-136,"Chase Sapphire","Travel","Airfare","EUR","Y"
"UNITED AIRLINES",-257.18,"Capital One Venture","Travel","Airfare","CAD","Y"
"HILTON",-109.93,"American Express","Lodging","Hotel","BRL","Y"
"AVIS",-100.63,"American Express","Travel","Car Rental","BRL","Y"
"UBER",-153.96,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
"LYFT",-445.91,"Capital One Venture","Travel","Ground Transportation","BRL","Y"
"BOOKING.COM",158.57,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
"MARRIOTT",-174.64,"Capital One Venture","Lodging","Hotel","USD","N"
"HUDSON NEWS",-71.86,"Chase Sapphire","Meals","Snacks","BRL","Y"
"HILTON",-117.15,"American Express","Lodging","Hotel","EUR","Y"
"LYFT",-27.04,"American Express","Travel","Ground Transportation","CAD","Y"
"HUDSON NEWS",-51.88,"American Express","Meals","Snacks","GBP","N"
"EXPEDIA",-175.18,"American Express","Travel","Booking Fees","CAD","Y"
"HUDSON NEWS",-104.62,"American Express","Meals","Snacks","AUD","Y"
"SHELL",-263.45,"Chase Sapphire","Travel","Fuel","CAD","N"
"MARRIOTT",-47.17,"Capital One Venture","Lodging","Hotel","BRL","Y"
"EXXON",-205.32,"Citi Platinum","Travel","Fuel","GBP","Y"
"EXPEDIA",140.01,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
"HERTZ",-348.13,"Capital One Venture","Travel","Car Rental","AUD","Y"
"BOOKING.COM",-205.68,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
"HUDSON NEWS",-50.95,"Chase Sapphire","Meals","Snacks","BRL","Y"
"EXPEDIA",-88.78,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
"EXPEDIA",220.74,"American Express","Travel","Booking Fees","AUD","Y"
"MARRIOTT",-269.61,"Citi Platinum","Lodging","Hotel","EUR","Y"
"EXPEDIA",-132.66,"Citi Platinum","Travel","Booking Fees","EUR","N"
"AVIS",-151.72,"Capital One Venture","Travel","Car Rental","AUD","Y"
"SHELL",-364.83,"Chase Sapphire","Travel","Fuel","GBP","Y"
"MARRIOTT",-145.85,"Chase Sapphire","Lodging","Hotel","GBP","Y"
"SHELL",-127.17,"Citi Platinum","Travel","Fuel","CAD","Y"
"LYFT",-129.03,"American Express","Travel","Ground Transportation","AUD","Y"
"STARBUCKS",-276.6,"American Express","Meals","Coffee","USD","Y"
"BOOKING.COM",-92.86,"American Express","Travel","Booking Fees","AUD","Y"
"UBER",15.43,"Chase Sapphire","Travel","Ground Transportation","CAD","N"
"UBER",-95.25,"Capital One Venture","Travel","Ground Transportation","EUR","Y"
"EXXON",-286.27,"American Express","Travel","Fuel","GBP","Y"
"MARRIOTT",-202.28,"Citi Platinum","Lodging","Hotel","GBP","Y"
"STARBUCKS",-108.47,"Capital One Venture","Meals","Coffee","BRL","N"
"UNITED AIRLINES",-227.65,"Citi Platinum","Travel","Airfare","CAD","Y"
"STARBUCKS",408.92,"Capital One Venture","Meals","Coffee","USD","Y"
"HERTZ",-43.89,"Citi Platinum","Travel","Car Rental","AUD","N"
"UNITED AIRLINES",-249.54,"American Express","Travel","Airfare","CAD","Y"
"STARBUCKS",-218.83,"Citi Platinum","Meals","Coffee","EUR","Y"
"LYFT",30.47,"Chase Sapphire","Travel","Ground Transportation","EUR","N"
"BOOKING.COM",-242.9,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"HERTZ",-48.51,"Capital One Venture","Travel","Car Rental","CAD","Y"
"HILTON",-301.28,"American Express","Lodging","Hotel","CAD","Y"
"EXPEDIA",-192.55,"Capital One Venture","Travel","Booking Fees","GBP","N"
"DELTA AIR LINES",-158.83,"Chase Sapphire","Travel","Airfare","CAD","Y"
"EXPEDIA",-290.24,"Chase Sapphire","Travel","Booking Fees","GBP","N"
"EXPEDIA",-226.17,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"LYFT",-153.46,"American Express","Travel","Ground Transportation","BRL","Y"
"MARRIOTT",-69.52,"Citi Platinum","Lodging","Hotel","EUR","Y"
"EXXON",-348.07,"Citi Platinum","Travel","Fuel","BRL","Y"
"EXPEDIA",-191.97,"Citi Platinum","Travel","Booking Fees","BRL","Y"
"MARRIOTT",59.23,"Capital One Venture","Lodging","Hotel","CAD","Y"
"EXPEDIA",-214.66,"Capital One Venture","Travel","Booking Fees","AUD","Y"
"BOOKING.COM",-122.72,"Citi Platinum","Travel","Booking Fees","USD","Y"
"EXXON",-90.93,"American Express","Travel","Fuel","BRL","N"
"DELTA AIR LINES",-117.86,"Citi Platinum","Travel","Airfare","EUR","Y"
"SHELL",-71.61,"American Express","Travel","Fuel","AUD","Y"
"MCDONALDS",-164.73,"Citi Platinum","Meals","Restaurant","BRL","Y"
"SHELL",-199.64,"Capital One Venture","Travel","Fuel","BRL","N"
"AVIS",-467.18,"American Express","Travel","Car Rental","GBP","Y"
"BOOKING.COM",-161.15,"Citi Platinum","Travel","Booking Fees","AUD","N"
"SHELL",-98.37,"American Express","Travel","Fuel","GBP","Y"
"STARBUCKS",-85.75,"Chase Sapphire","Meals","Coffee","AUD","Y"
"LYFT",-216.63,"Citi Platinum","Travel","Ground Transportation","USD","Y"
"EXPEDIA",63.54,"Capital One Venture","Travel","Booking Fees","EUR","Y"
"BOOKING.COM",-115.63,"American Express","Travel","Booking Fees","EUR","Y"
"SHELL",-134.84,"American Express","Travel","Fuel","AUD","N"
"MCDONALDS",2.67,"Capital One Venture","Meals","Restaurant","BRL","Y"
"STARBUCKS",-236.22,"American Express","Meals","Coffee","AUD","N"
"UBER",-204.04,"Citi Platinum","Travel","Ground Transportation","EUR","Y"
"LYFT",137.69,"Capital One Venture","Travel","Ground Transportation","GBP","Y"
"EXXON",148.66,"American Express","Travel","Fuel","BRL","Y"
"UBER",46.03,"Capital One Venture","Travel","Ground Transportation","AUD","Y"
"SHELL",-322.62,"American Express","Travel","Fuel","GBP","Y"
"MCDONALDS",-172.86,"Chase Sapphire","Meals","Restaurant","USD","Y"
"HILTON",-104.59,"Capital One Venture","Lodging","Hotel","BRL","Y"
"HERTZ",114,"Citi Platinum","Travel","Car Rental","BRL","Y"
"EXPEDIA",-270.68,"Capital One Venture","Travel","Booking Fees","CAD","Y"
"HERTZ",-147.69,"Chase Sapphire","Travel","Car Rental","USD","Y"
"AVIS",-279.29,"Capital One Venture","Travel","Car Rental","GBP","Y"
"MARRIOTT",-64.48,"Chase Sapphire","Lodging","Hotel","EUR","Y"
"HUDSON NEWS",-19.83,"Chase Sapphire","Meals","Snacks","EUR","N"
"SHELL",-417,"Citi Platinum","Travel","Fuel","BRL","Y"
"LYFT",-1.72,"American Express","Travel","Ground Transportation","BRL","Y"
"STARBUCKS",-298.93,"Chase Sapphire","Meals","Coffee","EUR","Y"
"HUDSON NEWS",-95.43,"Citi Platinum","Meals","Snacks","CAD","Y"
"SHELL",-70.81,"American Express","Travel","Fuel","CAD","Y"
"UNITED AIRLINES",-173.99,"Chase Sapphire","Travel","Airfare","USD","Y"
"AVIS",-227.41,"Citi Platinum","Travel","Car Rental","AUD","Y"
"MARRIOTT",-130.16,"Chase Sapphire","Lodging","Hotel","USD","Y"
"EXXON",-97.34,"Chase Sapphire","Travel","Fuel","CAD","Y"
"HILTON",-44,"Capital One Venture","Lodging","Hotel","GBP","Y"
"BOOKING.COM",-396.28,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
"SHELL",-346.37,"Chase Sapphire","Travel","Fuel","USD","Y"
"HILTON",21.65,"Capital One Venture","Lodging","Hotel","GBP","Y"
"DELTA AIR LINES",-24.4,"Capital One Venture","Travel","Airfare","GBP","N"
"EXXON",-97.77,"Citi Platinum","Travel","Fuel","GBP","Y"
"EXPEDIA",-64.18,"Capital One Venture","Travel","Booking Fees","BRL","Y"
"EXPEDIA",-39.94,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"HILTON",469.31,"Capital One Venture","Lodging","Hotel","AUD","N"
"HUDSON NEWS",16.77,"Chase Sapphire","Meals","Snacks","CAD","Y"
"EXXON",-208.2,"Chase Sapphire","Travel","Fuel","GBP","Y"
"LYFT",122.33,"Citi Platinum","Travel","Ground Transportation","CAD","Y"
"MCDONALDS",-185.42,"American Express","Meals","Restaurant","BRL","Y"
"HILTON",-45.36,"American Express","Lodging","Hotel","USD","Y"
"EXXON",-191.82,"Capital One Venture","Travel","Fuel","CAD","Y"
"MARRIOTT",87.78,"Capital One Venture","Lodging","Hotel","BRL","N"
"AVIS",-196.88,"Citi Platinum","Travel","Car Rental","AUD","Y"
"HILTON",-281.13,"Citi Platinum","Lodging","Hotel","USD","Y"
"HILTON",-4.8,"Chase Sapphire","Lodging","Hotel","BRL","N"
"HERTZ",-61.09,"American Express","Travel","Car Rental","USD","Y"
"LYFT",56.91,"American Express","Travel","Ground Transportation","USD","Y"
"DELTA AIR LINES",-142.18,"American Express","Travel","Airfare","BRL","Y"
"STARBUCKS",-15,"Capital One Venture","Meals","Coffee","GBP","Y"
"MCDONALDS",87.05,"American Express","Meals","Restaurant","USD","N"
"HILTON",-183.78,"American Express","Lodging","Hotel","EUR","Y"
"MCDONALDS",308.75,"Chase Sapphire","Meals","Restaurant","CAD","Y"
"HUDSON NEWS",-178.72,"Capital One Venture","Meals","Snacks","USD","Y"
"SHELL",-175.68,"Citi Platinum","Travel","Fuel","BRL","Y"
"EXXON",-131.8,"Chase Sapphire","Travel","Fuel","AUD","Y"
"EXPEDIA",55.48,"Citi Platinum","Travel","Booking Fees","EUR","N"
"UBER",-189.14,"American Express","Travel","Ground Transportation","EUR","Y"
"AVIS",-105.24,"American Express","Travel","Car Rental","EUR","Y"
"UNITED AIRLINES",-177.32,"Capital One Venture","Travel","Airfare","GBP","Y"
"MCDONALDS",-147.55,"Citi Platinum","Meals","Restaurant","EUR","Y"
"AVIS",-112.31,"American Express","Travel","Car Rental","CAD","Y"
"EXPEDIA",9.39,"American Express","Travel","Booking Fees","USD","Y"
"LYFT",-135.44,"Chase Sapphire","Travel","Ground Transportation","USD","Y"
"HUDSON NEWS",-64.46,"Citi Platinum","Meals","Snacks","EUR","Y"
"EXXON",-56.54,"Capital One Venture","Travel","Fuel","GBP","Y"
"HERTZ",40.23,"American Express","Travel","Car Rental","BRL","N"
"STARBUCKS",-218.93,"Citi Platinum","Meals","Coffee","EUR","Y"
"HILTON",45.23,"Capital One Venture","Lodging","Hotel","AUD","N"
"AVIS",-195.71,"Citi Platinum","Travel","Car Rental","AUD","Y"
"AVIS",-162.69,"Citi Platinum","Travel","Car Rental","BRL","Y"
"EXPEDIA",18.49,"American Express","Travel","Booking Fees","BRL","Y"
"UBER",5.29,"Citi Platinum","Travel","Ground Transportation","USD","Y"
"SHELL",-280.8,"American Express","Travel","Fuel","GBP","Y"
"AVIS",-254.77,"Capital One Venture","Travel","Car Rental","GBP","Y"
"DELTA AIR LINES",-312.97,"Chase Sapphire","Travel","Airfare","BRL","N"
"EXXON",-128.18,"Capital One Venture","Travel","Fuel","EUR","N"
"EXXON",-130.22,"Chase Sapphire","Travel","Fuel","EUR","Y"
"STARBUCKS",-106.31,"American Express","Meals","Coffee","USD","Y"
"HUDSON NEWS",-83.74,"Citi Platinum","Meals","Snacks","EUR","Y"
"EXXON",-222.23,"Chase Sapphire","Travel","Fuel","USD","Y"
"UNITED AIRLINES",-269.24,"Citi Platinum","Travel","Airfare","GBP","Y"
"AVIS",-26.79,"Chase Sapphire","Travel","Car Rental","EUR","N"
"UBER",-59.87,"Capital One Venture","Travel","Ground Transportation","GBP","Y"
"HUDSON NEWS",-331.1,"American Express","Meals","Snacks","AUD","N"
"SHELL",-161.42,"Capital One Venture","Travel","Fuel","USD","Y"
"SHELL",-257.51,"Capital One Venture","Travel","Fuel","USD","N"
"STARBUCKS",-398.49,"Chase Sapphire","Meals","Coffee","USD","Y"
"AVIS",-131.99,"Capital One Venture","Travel","Car Rental","AUD","Y"
"HERTZ",-159.51,"Citi Platinum","Travel","Car Rental","CAD","Y"
"STARBUCKS",-161.68,"Chase Sapphire","Meals","Coffee","AUD","Y"
"EXXON",-124.06,"Chase Sapphire","Travel","Fuel","USD","N"
"BOOKING.COM",-44.1,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"LYFT",-125.33,"American Express","Travel","Ground Transportation","BRL","Y"
"SHELL",-223.97,"American Express","Travel","Fuel","GBP","Y"
"STARBUCKS",-238.18,"Citi Platinum","Meals","Coffee","EUR","Y"
"MCDONALDS",-165.82,"Capital One Venture","Meals","Restaurant","AUD","Y"
"DELTA AIR LINES",-112.8,"Chase Sapphire","Travel","Airfare","EUR","Y"
"HUDSON NEWS",274.76,"American Express","Meals","Snacks","BRL","N"
"AVIS",-172.12,"American Express","Travel","Car Rental","USD","N"
"AVIS",33.93,"Citi Platinum","Travel","Car Rental","USD","N"
"MARRIOTT",162.99,"American Express","Lodging","Hotel","BRL","Y"
"STARBUCKS",-233.81,"American Express","Meals","Coffee","USD","Y"
"UBER",-183.11,"Capital One Venture","Travel","Ground Transportation","USD","Y"
"LYFT",-16.24,"Citi Platinum","Travel","Ground Transportation","CAD","Y"
"AVIS",-83.99,"Capital One Venture","Travel","Car Rental","AUD","Y"
"MCDONALDS",-1.6,"American Express","Meals","Restaurant","USD","N"
"MCDONALDS",-133.31,"Chase Sapphire","Meals","Restaurant","EUR","Y"
"HUDSON NEWS",-100.77,"American Express","Meals","Snacks","GBP","N"
"HILTON",-217.01,"Citi Platinum","Lodging","Hotel","CAD","Y"
"STARBUCKS",-77.36,"Chase Sapphire","Meals","Coffee","GBP","Y"
"SHELL",-210.76,"Citi Platinum","Travel","Fuel","USD","Y"
"HUDSON NEWS",-320.47,"American Express","Meals","Snacks","EUR","Y"
"SHELL",-134.64,"Chase Sapphire","Travel","Fuel","CAD","Y"
"STARBUCKS",83.5,"Capital One Venture","Meals","Coffee","GBP","Y"
"HILTON",-53.89,"Citi Platinum","Lodging","Hotel","USD","N"
"AVIS",-10.17,"Citi Platinum","Travel","Car Rental","EUR","N"
"EXXON",-106.94,"American Express","Travel","Fuel","EUR","N"
"HUDSON NEWS",-223.03,"Citi Platinum","Meals","Snacks","BRL","Y"
"HUDSON NEWS",174.27,"Capital One Venture","Meals","Snacks","AUD","N"
"HUDSON NEWS",-182.79,"Capital One Venture","Meals","Snacks","BRL","Y"
"UBER",-206.24,"Capital One Venture","Travel","Ground Transportation","GBP","Y"
"SHELL",-65.5,"Chase Sapphire","Travel","Fuel","BRL","Y"
"EXPEDIA",-293.68,"Capital One Venture","Travel","Booking Fees","GBP","Y"
"EXPEDIA",-46.04,"Capital One Venture","Travel","Booking Fees","BRL","Y"
"LYFT",-46.3,"American Express","Travel","Ground Transportation","CAD","Y"
"MCDONALDS",-293.83,"Capital One Venture","Meals","Restaurant","EUR","Y"
"DELTA AIR LINES",-73.26,"Citi Platinum","Travel","Airfare","AUD","Y"
"STARBUCKS",141.63,"Citi Platinum","Meals","Coffee","CAD","Y"
"STARBUCKS",-216.87,"Capital One Venture","Meals","Coffee","CAD","N"
"DELTA AIR LINES",-48.61,"Chase Sapphire","Travel","Airfare","CAD","Y"
"STARBUCKS",-243.86,"American Express","Meals","Coffee","AUD","Y"
"DELTA AIR LINES",-16.71,"Chase Sapphire","Travel","Airfare","GBP","Y"
"AVIS",-120.02,"Capital One Venture","Travel","Car Rental","GBP","Y"
"STARBUCKS",48.23,"American Express","Meals","Coffee","BRL","Y"
"MCDONALDS",-325.08,"American Express","Meals","Restaurant","GBP","Y"
"UBER",-156.16,"Capital One Venture","Travel","Ground Transportation","CAD","Y"
"SHELL",213.23,"Citi Platinum","Travel","Fuel","USD","Y"
"HERTZ",-173.67,"Chase Sapphire","Travel","Car Rental","GBP","Y"
"UBER",-225.55,"Chase Sapphire","Travel","Ground Transportation","USD","N"
"STARBUCKS",-250.06,"American Express","Meals","Coffee","USD","Y"
"HUDSON NEWS",-80.55,"Citi Platinum","Meals","Snacks","USD","Y"
"HILTON",-280.51,"Capital One Venture","Lodging","Hotel","BRL","N"
"LYFT",28.08,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
"UNITED AIRLINES",-292.34,"Chase Sapphire","Travel","Airfare","BRL","Y"
"EXPEDIA",-137.87,"Capital One Venture","Travel","Booking Fees","EUR","N"
"BOOKING.COM",-86.04,"Capital One Venture","Travel","Booking Fees","EUR","Y"
"AVIS",-79.59,"Capital One Venture","Travel","Car Rental","BRL","Y"
"DELTA AIR LINES",186.21,"Citi Platinum","Travel","Airfare","EUR","Y"
"UBER",-140.46,"Capital One Venture","Travel","Ground Transportation","AUD","N"
"HUDSON NEWS",-34.65,"Capital One Venture","Meals","Snacks","EUR","N"
"HILTON",-324.78,"Citi Platinum","Lodging","Hotel","GBP","Y"
"MARRIOTT",-243.81,"American Express","Lodging","Hotel","EUR","Y"
"HUDSON NEWS",-111.55,"American Express","Meals","Snacks","BRL","Y"
"EXPEDIA",-203.37,"American Express","Travel","Booking Fees","GBP","Y"
"DELTA AIR LINES",14.4,"American Express","Travel","Airfare","EUR","Y"
"UNITED AIRLINES",-69.21,"American Express","Travel","Airfare","USD","Y"
"HILTON",141.34,"Capital One Venture","Lodging","Hotel","USD","N"
"STARBUCKS",-330.93,"American Express","Meals","Coffee","CAD","Y"
"DELTA AIR LINES",-146.87,"Chase Sapphire","Travel","Airfare","EUR","Y"
"UBER",-187.97,"American Express","Travel","Ground Transportation","AUD","N"
"UBER",-162.28,"Chase Sapphire","Travel","Ground Transportation","EUR","N"
"HUDSON NEWS",-291.79,"American Express","Meals","Snacks","USD","Y"
"EXXON",-90.16,"American Express","Travel","Fuel","GBP","Y"
"SHELL",-274.67,"American Express","Travel","Fuel","BRL","Y"
"HUDSON NEWS",-177.15,"Chase Sapphire","Meals","Snacks","EUR","N"
"UBER",-104.23,"Citi Platinum","Travel","Ground Transportation","AUD","Y"
"AVIS",-244.02,"American Express","Travel","Car Rental","EUR","Y"
"UNITED AIRLINES",-80.04,"Chase Sapphire","Travel","Airfare","CAD","Y"
"STARBUCKS",-307.98,"Chase Sapphire","Meals","Coffee","EUR","Y"
"BOOKING.COM",-487.17,"American Express","Travel","Booking Fees","GBP","N"
"LYFT",-94.2,"American Express","Travel","Ground Transportation","CAD","Y"
"SHELL",-49.14,"Chase Sapphire","Travel","Fuel","GBP","Y"
"AVIS",-184.3,"Chase Sapphire","Travel","Car Rental","GBP","Y"
"HUDSON NEWS",-89.5,"Citi Platinum","Meals","Snacks","EUR","Y"
"DELTA AIR LINES",-288.71,"Citi Platinum","Travel","Airfare","GBP","Y"
"UBER",-165.26,"American Express","Travel","Ground Transportation","GBP","N"
"AVIS",382.98,"American Express","Travel","Car Rental","AUD","Y"
"HERTZ",-8.26,"Capital One Venture","Travel","Car Rental","USD","Y"
"BOOKING.COM",73.19,"Chase Sapphire","Travel","Booking Fees","USD","Y"
"UBER",-21.12,"American Express","Travel","Ground Transportation","CAD","N"
"EXXON",-153.28,"Citi Platinum","Travel","Fuel","GBP","Y"
"UBER",-154,"American Express","Travel","Ground Transportation","EUR","Y"
"BOOKING.COM",-331.93,"Capital One Venture","Travel","Booking Fees","BRL","Y"
"SHELL",-55.15,"American Express","Travel","Fuel","CAD","Y"
"HILTON",-175.29,"Citi Platinum","Lodging","Hotel","USD","Y"
"UNITED AIRLINES",-228.81,"Chase Sapphire","Travel","Airfare","CAD","Y"
"AVIS",-319.44,"Chase Sapphire","Travel","Car Rental","GBP","Y"
"DELTA AIR LINES",-185.97,"Citi Platinum","Travel","Airfare","CAD","Y"
"DELTA AIR LINES",-251.89,"Capital One Venture","Travel","Airfare","EUR","Y"
"UNITED AIRLINES",-197.64,"American Express","Travel","Airfare","USD","Y"
"DELTA AIR LINES",-296.11,"Citi Platinum","Travel","Airfare","AUD","N"
"UNITED AIRLINES",52.51,"American Express","Travel","Airfare","CAD","Y"
"AVIS",-151.92,"Citi Platinum","Travel","Car Rental","BRL","Y"
"EXXON",-21.01,"Citi Platinum","Travel","Fuel","AUD","Y"
"DELTA AIR LINES",462.2,"American Express","Travel","Airfare","EUR","Y"
"BOOKING.COM",-204.38,"Citi Platinum","Travel","Booking Fees","AUD","N"
"MARRIOTT",-231.06,"American Express","Lodging","Hotel","GBP","Y"
"UNITED AIRLINES",-296.75,"Chase Sapphire","Travel","Airfare","GBP","N"
"UNITED AIRLINES",35.59,"Citi Platinum","Travel","Airfare","AUD","Y"
"UBER",-319.83,"Chase Sapphire","Travel","Ground Transportation","BRL","Y"
"BOOKING.COM",-111.79,"American Express","Travel","Booking Fees","EUR","Y"
"HERTZ",-48.43,"Capital One Venture","Travel","Car Rental","AUD","Y"
"HUDSON NEWS",-128.62,"American Express","Meals","Snacks","BRL","Y"
"AVIS",-255.03,"Chase Sapphire","Travel","Car Rental","USD","Y"
